id_artista,nombre,genero_musical,pais,cache_eur,email_manager,telefono
ART-0050,Ruido Blanco,techno,venezuela,220687.0,ruido.blanco@management.com,+34 603 895 645
ART-0118,Fosforescente,Hip-Hop,Argetina,269617.0,correo sin arroba.com,+34 629 597 483
ART-0171,Grafito,Jazz,EE.UU.,152310.0,@dominio.com,+34 612 976 369
ART-0178,Nirvana,Metall,Kolombia,272.939,nirvana@yahoo.es,+34671555103
ART-0117,Estrépito,ska,España,82568.0,estrepito@musica.es,+34 659 330 166
ART-0146,Huracán,Electrónic,España,185706.0,huracan@management.com,624-464-938
ART-0012,Beto Y Los Fugitivos,Pop,CHILE,228942.0,beto.y.los.fugitivos@gmail.com,614282218
ART-0207,Rapsodia,Rock,CHILE,198744.0,rapsodia@musica.es,0034664343201
ART-0113,Canto Rodado,hip-hop,PORTUGAL,164813.0,canto.rodado@musica.es,646991504999
ART-0055,Pulso Urbano,FOLK,Brasil,135345.0,pulso.urbano@hotmail.com,641 746 937
ART-0045,Cuarto Creciente,folk,España,293241.0,cuarto.creciente@gmail.com,642587
ART-0221,Clave De Sol,Pop,España,164555.0,tiene espacios @correo.com,0034684187049
ART-0161,Wavelength,flamenco,COLOMBIA,160448.0,wavelength@yahoo.es,638 124 318
ART-0037,Tercer Acto,Rock,mexico,137951.0,tercer.acto@yahoo.es,681363974999
ART-0054,Destello,R & B,Italia,22106.0,destello@hotmail.com,0034615353091
ART-0140,Bumerán,INDIE,México,197562.0,bumeran@yahoo.es,663-411-827
ART-0195,Fénix,Metal,portugal,257286.0,@dominio.com,+34 675686878
ART-0067,Sendero,Techno,Reino Unido,60814.0,sendero@outlook.com,640 780 112
ART-0223,La Máquina,Indie,Francia,246392.0,la.maquina@musica.es,+34635812670
ART-0061,Viento Sur,Reguetón,Peru,136451.0,viento.sur@musica.es,+34 632 394 260
ART-0165,Atardecer,Hip Hop,R. Unido,39258.0,atardecer@hotmail.com,+34641954112
ART-0109,Coral,Electrónica,chile,288496.0,coral@outlook.com,613 311 507
ART-0147,Ícaro,Pop,BRASIL,240955.0,-,672884
