equipo,nombre,cargo,email,telefono
Dark Wolves,Pedro Sánchez Díaz,Analista,pedro.sanchez.diaz@outlook.com,666 479 831
Cyber Dragons,Almudena Luna Vera,Analista,@dominio.com,SIN DATOS
Arctic Foxes,Guillermo Jiménez Marín,Coach,guillermo.jimenez.marin@esports.gg,656851
Vortex Club,Consuelo Valero Heredia,Psicólogo Deportivo,consuelo.valero.heredia@gmail.com,642-476-240
Neon Strikers,Juan Moreno Domínguez,Streamer Oficial,juan.moreno.dominguez@gmail.com,688-032-908
Titan Esports,Remedios Franco Roldán,Coach,remedios.franco.roldan@outlook.com,664 115 841
Titan Esports,Elena Álvarez Vázquez,Streamer Oficial,elena.alvarez.vazquez@hotmail.com,617-870-584
Nova Squad,gemma bueno expósito,Analista,gemma.bueno.exposito@gmail.com,SIN DATOS
Zenith,Natalia Iglesias Prieto,Coach,natalia.iglesias.prieto@gaming.com,661 533 194
Nova Squad,Eduardo Ponce Velasco,Analista,eduardo.ponce.velasco@yahoo.es,617036337
Raptors GG,Eva Garrido Gallego,Coach,eva.garrido.gallego@hotmail.com,604746
Storm Gaming,Ismael Benítez Padilla,Fisioterapeuta,ismael.benitez.padilla@gaming.com,SIN DATOS
Iron Bears,Paula Gil Suárez,Coach,paula.gil.suarez@gmail.com,627868462999
Crystal Gaming,Encarnación Heredia Marin,Coach,encarnacion.heredia.marin@gmail.com,634-918-995
Phoenix Rising,Sara Navarro Delgado,Analista,sara.navarro.delgado@gmail.com,601286267999
Byte Force,Rosa Cruz Pascual,Coach,rosa.cruz.pascual@outlook.com,0034615755285
Thunder Esports,Francisco Pérez Álvarez,Coach,francisco.perez.alvarez@hotmail.com,SIN DATOS
Dark Wolves,Tomás Soto Fuentes,Fisioterapeuta,tomas.soto.fuentes@gaming.com,629332
Byte Force,Diego Rubio Peña,Streamer Oficial,diego.rubio.pena@outlook.com,0034618687800
Arctic Foxes,Irene Prieto Rubio,Manager,irene.prieto.rubio@hotmail.com,+34620854365
Neon Strikers,Isabel Gómez Torres,Psicólogo Deportivo,isabel.gomez.torres@gmail.com,+34637342819
Neon Strikers,Nicolás Gutiérrez Peña,Analista,nicolas.gutierrez.pena@gmail.com,+34661532017
Blaze Team,Rocío Suárez Castillo,Analista,rocio.suarez.castillo@outlook.com,0034604650569
Shadow Legion,Montserrat Mateo Salazar,Psicólogo Deportivo,@dominio.com,SIN DATOS
Nova Squad,Pilar Reyes Crespo,Streamer Oficial,pilar.reyes.crespo@gmail.com,658 315 400
Raptors GG,Valentín Córdoba Yuste,Psicólogo Deportivo,valentin.cordoba.yuste@esports.gg,+34 667382794
Omega Team,Marcos Peña Vargas,Analista,marcos.pena.vargas@esports.gg,666591799999
Phoenix Rising,Montserrat Mateo Salazar,Fisioterapeuta,montserrat.mateo.salazar@outlook.com,659572772999
Iron Bears,Lucía Díaz Navarro,Coach,lucia.diaz.navarro@gaming.com,0034605412975
Eclipse,Gregorio Guerrero Pinto,Analista,gregorio.guerrero.pinto@esports.gg,0034626229153
Quantum Five,Verónica Mora Bravo,Fisioterapeuta,veronica.mora.bravo@outlook.com,0034670573568
Storm Gaming,Valentín Córdoba Yuste,Analista,valentin.cordoba.yuste@outlook.com,0034659375757
Eclipse,Gloria Ortiz Ferrer,Coach,gloria.ortiz.ferrer@yahoo.es,674234670999
Omega Team,Álvaro Moya Lara,Psicólogo Deportivo,alvaro.moya.lara@gmail.com,690 478 912
Cyber Dragons,Marcos Peña Vargas,Manager,marcos.pena.vargas@yahoo.es,645-332-729
Zenith,Consuelo Valero Heredia,Manager,SIN DATOS,0034617543369
Neon Strikers,Javier Domínguez Herrera,Manager,javier.dominguez.herrera@gaming.com,619081953
Zenith,Remedios Franco Roldán,Psicólogo Deportivo,remedios.franco.roldan@outlook.com,0034610024377
Thunder Esports,Teresa Méndez Ibáñez,Manager,teresa.mendez.ibanez@gaming.com,SIN DATOS
Blaze Team,Gloria Ortiz Ferrer,Coach,gloria.ortiz.ferrer@gaming.com,603957
Crystal Gaming,Asunción Expósito Merino,Fisioterapeuta,SIN DATOS,618 762 704
Storm Gaming,Esperanza Salazar Calderón,Fisioterapeuta,esperanza.salazar.calderon@yahoo.es,633257324
Zenith,Nuria Gallego Pastor,Streamer Oficial,nuria.gallego.pastor@outlook.com,608-038-980
Shadow Legion,Tomás Soto Fuentes,Streamer Oficial,tomas.soto.fuentes@gaming.com,653196064
Quantum Five,Encarnación Heredia Marin,Psicólogo Deportivo,encarnacion.heredia.marin@outlook.com,+34675920407
Vortex Club,Dolores Carmona Luna,Fisioterapeuta,dolores.carmona.luna@yahoo.es,632123815999
Arctic Foxes,Almudena Luna Vera,Fisioterapeuta,almudena.luna.vera@gmail.com,SIN DATOS
Quantum Five,Sergio León Jiménez,Coach,SIN DATOS,SIN DATOS
Storm Gaming,Pedro Sánchez Díaz,Analista,pedro.sanchez.diaz@outlook.com,666 479 831
Eclipse,Natalia Iglesias Prieto,Coach,natalia.iglesias.prieto@gaming.com,+34 644965270
Cyber Dragons,Felipe Carrasco Caballero,Psicólogo Deportivo,felipe.carrasco.caballero@gaming.com,687241147
